id,title,description,url,audio,transcript_text,transcript_vtt,transcript_json
ep-53-i-am-lola-lafway,"Another Round, Ep 53: I Am... Lola LaFway (with Nichole Perkins)",,,audio/ep-53-i-am-lola-lafway.mp3,transcripts/text/ep-53-i-am-lola-lafway.text,transcripts/vtt/ep-53-i-am-lola-lafway.vtt,transcripts/json/ep-53-i-am-lola-lafway.json
ep-48-revolutions-are-hard-eyeliner-is-hard,"Another Round, Ep 48: Revolutions Are Hard, Eyeliner Is Hard (with Maryam Al-Khawaja)",,,audio/ep-48-revolutions-are-hard-eyeliner-is-hard.mp3,transcripts/text/ep-48-revolutions-are-hard-eyeliner-is-hard.text,transcripts/vtt/ep-48-revolutions-are-hard-eyeliner-is-hard.vtt,transcripts/json/ep-48-revolutions-are-hard-eyeliner-is-hard.json
ep-46-challenging--unpredictable,"Another Round, Ep 46: Challenging & Unpredictable (with Melissa Harris-Perry)",,,audio/ep-46-challenging--unpredictable.mp3,transcripts/text/ep-46-challenging--unpredictable.text,transcripts/vtt/ep-46-challenging--unpredictable.vtt,transcripts/json/ep-46-challenging--unpredictable.json
ep-32-the-yum-center,"Another Round, Ep 32: The Yum Center (with Melissa Harris-Perry)",,,audio/ep-32-the-yum-center.mp3,transcripts/text/ep-32-the-yum-center.text,transcripts/vtt/ep-32-the-yum-center.vtt,transcripts/json/ep-32-the-yum-center.json
ep-37-the-room-where-it-happens,"Another Round, Ep 37: The Room Where It Happens (with Valerie Jarrett)",,,audio/ep-37-the-room-where-it-happens.mp3,transcripts/text/ep-37-the-room-where-it-happens.text,transcripts/vtt/ep-37-the-room-where-it-happens.vtt,transcripts/json/ep-37-the-room-where-it-happens.json
ep-45-practical-tactical-brilliance,"Another Round, Ep 45: Practical Tactical Brilliance (with Lin-Manuel Miranda)",,,audio/ep-45-practical-tactical-brilliance.mp3,transcripts/text/ep-45-practical-tactical-brilliance.text,transcripts/vtt/ep-45-practical-tactical-brilliance.vtt,transcripts/json/ep-45-practical-tactical-brilliance.json
ep-28-madam-secretary-whats-good,"Another Round, Ep 28: Madam Secretary, What's Good? (with Hillary Clinton)",,,audio/ep-28-madam-secretary-whats-good.mp3,transcripts/text/ep-28-madam-secretary-whats-good.text,transcripts/vtt/ep-28-madam-secretary-whats-good.vtt,transcripts/json/ep-28-madam-secretary-whats-good.json
ep-13-another-round-live,"Another Round, Ep 13: Another Round LIVE! (with Roxane Gay)",,,audio/ep-13-another-round-live.mp3,transcripts/text/ep-13-another-round-live.text,transcripts/vtt/ep-13-another-round-live.vtt,transcripts/json/ep-13-another-round-live.json
ep-11-bob-loblaw,"Another Round, Ep 11: Bob Loblaw (with Chirlane McCray)",,,audio/ep-11-bob-loblaw.mp3,transcripts/text/ep-11-bob-loblaw.text,transcripts/vtt/ep-11-bob-loblaw.vtt,transcripts/json/ep-11-bob-loblaw.json
ep-17-caribbean-vibez,"Another Round, Ep 17: Caribbean Vibez (with Stacy-Marie Ishmael)",,,audio/ep-17-caribbean-vibez.mp3,transcripts/text/ep-17-caribbean-vibez.text,transcripts/vtt/ep-17-caribbean-vibez.vtt,transcripts/json/ep-17-caribbean-vibez.json
ep-19-was-that-a-microaggression-or-just-tuesday,"Another Round, Ep 19: Was That a Microaggression or Just Tuesday? (with Audie Cornish)",,,audio/ep-19-was-that-a-microaggression-or-just-tuesday.mp3,transcripts/text/ep-19-was-that-a-microaggression-or-just-tuesday.text,transcripts/vtt/ep-19-was-that-a-microaggression-or-just-tuesday.vtt,transcripts/json/ep-19-was-that-a-microaggression-or-just-tuesday.json
ep-33-pick-a-slay,"Another Round, Ep 33: Pick A Slay (with Uzo Aduba)",,,audio/ep-33-pick-a-slay.mp3,transcripts/text/ep-33-pick-a-slay.text,transcripts/vtt/ep-33-pick-a-slay.vtt,transcripts/json/ep-33-pick-a-slay.json
ep-39-the-betrayer-of-the-patriarchy,"Another Round, Ep 39: The Betrayer of the Patriarchy (with Anil Dash)",,,audio/ep-39-the-betrayer-of-the-patriarchy.mp3,transcripts/text/ep-39-the-betrayer-of-the-patriarchy.text,transcripts/vtt/ep-39-the-betrayer-of-the-patriarchy.vtt,transcripts/json/ep-39-the-betrayer-of-the-patriarchy.json
